context_id,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write)
12c16g_64-1000000-4-oltp_read_write_50-1.0,13.46673090249262,97.42534777238976,22869.454545454544,6232.903636363637,45.11818181994286,830.8472727272728,830.8418181818182,88072.26,1246.24,1830.096363636364,6364.243636363637
12c16g_64-1000000-4-oltp_read_write_80-0.2,13.545298574305953,91.34105187321605,10902.0,3795.947272727273,44.71999999880791,172.48363636363638,172.4781818181818,72267.63636363637,344.9654545454545,4144.074545454546,3859.709090909091
12c16g_64-1000000-4-oltp_read_write_80-0.6,13.553397033688594,92.3838877669822,11970.545454545454,4207.56,42.72545454651117,191.18545454545452,191.18727272727276,80107.37090909091,382.3745454545455,3911.594545454546,4188.369090909091
12c16g_64-1000000-4-oltp_read_write_80-1.0,13.544853701298052,96.89943625955964,12513.0,7035.54,42.08181818100539,319.73454545454547,319.7327272727273,133965.55636363637,639.4581818181819,2147.7618181818184,4973.254545454546
12c16g_64-1000000-4-oltp_read_write_95-0.2,13.505107285995114,84.53895545871227,7165.181818181818,5440.669090909091,46.94909090887416,65.53272727272727,65.53272727272727,31453.70909090909,131.06,5388.441818181818,1639.3563636363635
12c16g_64-1000000-4-oltp_read_write_95-0.6,13.5207176806455,86.3153984140023,7721.090909090909,6235.314545454546,49.65454545617104,75.11272727272727,75.11272727272727,36049.40363636363,150.21818181818182,5177.752727272728,1804.5636363636363
12c16g_64-1000000-4-oltp_read_write_95-1.0,13.56290536424553,94.03144095372912,9139.09090909091,12124.247272727273,44.567272728139706,146.05090909090907,146.05454545454543,70104.08181818182,292.0872727272727,3173.147272727273,2535.4418181818182
12c16g_64-1000000-4-oltp_write_only-0.2,13.164682049814576,96.5923129600298,32419.18181818182,2156.496363636364,38.6054545444521,359.1818181818182,359.18,1077.5563636363638,718.3690909090909,1269.6272727272726,6793.761818181819
12c16g_64-1000000-4-oltp_write_only-0.6,13.179982582668414,97.32162156363336,35233.545454545456,2435.28,36.13818181915717,405.6490909090909,405.65636363636366,1216.9654545454546,811.2981818181819,1162.2872727272727,6772.512727272727
12c16g_64-1000000-4-oltp_write_only-1.0,13.169265791104944,98.65341303383188,23813.90909090909,3334.94,31.39454545419325,555.5763636363637,555.5745454545454,1666.7727272727273,1111.1490909090908,633.0,6017.569090909092
16c24g_10-4-4-tpcc-nan,9.325830008835736,96.65154069921618,23566.36363636364,3571.652727272727,30.020000000568952,54.63818181818181,708.2054545454546,6044.405454545456,1419.1818181818182,1080.5945454545456,3382.052727272727
16c24g_100-4-4-tpcc-nan,9.343160035229817,90.10940403097868,14188.454545454546,1690.0545454545454,33.45272727378389,26.64909090909091,333.77454545454543,2798.0581818181818,679.4472727272728,2092.38,2888.2145454545457
16c24g_64-1000000-4-oltp_read_write_20-0.2,9.619927848169588,95.20551702006742,23420.90909090909,1335.08,29.84727272729982,333.45272727272726,333.46,17585.36909090909,333.3636363636364,1236.2236363636364,3720.518181818181
